Date,Product,Category,Quantity,Price
2026-01-05,Laptop,Electronics,2,55000
2026-01-10,Mouse,Accessories,10,800
2026-01-15,Keyboard,Accessories,5,1500
2026-02-03,Laptop,Electronics,3,55000
2026-02-12,Headphones,Accessories,8,2000
2026-02-20,Monitor,Electronics,4,12000
2026-03-02,Mouse,Accessories,15,800
2026-03-11,Laptop,Electronics,1,55000
2026-03-18,Keyboard,Accessories,7,1500
2026-04-05,Monitor,Electronics,5,12000
2026-04-14,Headphones,Accessories,12,2000
2026-04-22,Laptop,Electronics,2,55000
2026-05-03,Mouse,Accessories,20,800
2026-05-15,Monitor,Electronics,3,12000
2026-05-25,Keyboard,Accessories,10,1500
